Feature,Importance
Torque_Nm,0.3209545766838526
Rotational_speed_rpm,0.2147124702638528
Air_temperature_K,0.16156544874046663
Tool_wear_min,0.15393644499419223
Process_temperature_K,0.1488310593176357
